species,region,island,date,flipper_length,body_mass,sex
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/11/07,181,3750,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/11/07,186,3800,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,195,3250,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,NA,NA,NA
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,193,3450,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,190,3650,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/15/07,181,3625,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/15/07,195,4675,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/9/07,193,3475,NA
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/9/07,190,4250,NA
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/9/07,186,3300,NA
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/9/07,180,3700,NA
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/15/07,182,3200,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/15/07,191,3800,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,198,4400,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,185,3700,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/12/07,195,3450,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/12/07,197,4500,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,184,3325,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,11/16/07,194,4200,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/12/07,174,3400,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/12/07,180,3600,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/12/07,189,3800,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/12/07,185,3950,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/10/07,180,3800,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/10/07,187,3800,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/12/07,183,3550,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/12/07,187,3200,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/10/07,172,3150,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,11/10/07,180,3950,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/9/07,178,3250,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/9/07,178,3900,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/9/07,188,3300,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/9/07,184,3900,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,195,3325,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,196,4150,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,190,3950,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,180,3550,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/13/07,181,3300,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/13/07,184,4650,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,182,3150,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,195,3900,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/19/07,186,3100,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/19/07,196,4400,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,185,3000,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/16/07,190,4600,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/13/07,182,3425,MALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/13/07,179,2975,NA
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/13/07,190,3450,FEMALE
Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,11/13/07,191,4150,MALE